0
HEMATOCRIT
HEMOGLOBIN
WHITE_BLOOD_CELL
MEAN_CELL_VOLUME
RED_CELL_DIAMETER_WIDTH
RED_BLOOD_CELL
MEAN_CELL_HEMOGLOBIN_CONCENTRATION
MEAN_CELL_HEMOGLOBIN
PLATELET
MEAN_PLATELET_VOLUME
CREATININE
CALCIUM_LEVEL_TOTAL
POTASSIUM_LEVEL
CHLORIDE_LEVEL
SODIUM_LEVEL
GLUCOSE_LEVEL
ALANINE_AMINOTRANSFERASE
PROTEIN_TOTAL
ALBUMIN_LEVEL
ASPARTATE_AMINOTRANSFERASE
ALKALINE_PHOSPHATASE
BILIRUBIN_DIRECT
BILIRUBIN_INDIRECT
LYMPHOCYTE_AUTOMATED
BASOPHIL_AUTOMATED
MONOCYTE_AUTOMATED
NEUTROPHIL_AUTOMATED
EOSINOPHIL_AUTOMATED
PROTHROMBIN_TIME
HEMOGLOBIN_A1C
